;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;NOVEDAD;;;;;;NO DISPONIBLE;;;;;;;;;;;;
;PROMOCION;;;;;;LIMITADO;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
Código;DESCRIPCION; Precio Unitario Sin IVA ; Precio sugerido al público ;PEDIDO;;Código;DESCRIPCION; Precio Unitario Sin IVA ; Precio sugerido al público ;PEDIDO;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
28 - ROL;;;;;;30  -  Yu-Gi-Oh!;;;;;;;;;;;;;
1071;PATHFINDER ESTRELLA FRAG. 3-LA PIEDRA DEL MANICOMIO; $650,00 ; $975 ;NOVE;;1028;MG BUNDLE LA HORA DE LA DEVASTACION - Portugués-; $1.432,13 ; $2.599 ;;;;;;;;;;
1072;PATHFINDER ESTRELLA FRAG. 4-MÁS ALLÁ DE LA PUERTA DEL DIA; $650,00 ; $975 ;NOVE;;1032;SOBRE MG IXALAN (Caja X 36); $169,00 ; $287 ;;;;;;;;;;
1046;PATHFINDER GUIA DEL JUGADOR AVANZADA DE BOLSILLO; $750,00 ; $1.125 ;;;1037;EXPLORERS OF IXALAN; $2.371,28 ; $4.304 ;PROMO;15% DESCUENTO ;;;;;;;;
1032;PATHFINDER JDR PANTALLA DJ ESP.; $360,00 ; $540 ;;;1042;SOBRE MG RIVALES DE IXALAN; $169,00 ; $287 ;;;;;;;;;;
1029;PATHFINDER JDR REGLAS BASICAS BOLSILLO; $800,00 ; $1.200 ;;;1047;DUEL DECK ELVES VS INVENTORS; $1.208,42 ; $2.193 ;Limitado;;;;;;;;;
1028;PATHFINDER JUEGO DE ROL REGLAS BASICAS; $1.750,00 ; $2.625 ;;;1061;GLOBAL SERIES: JIANG YANGGU VS MU YANLING 10% descuento; $1.344,00 ; $2.439 ;PROMO;15% Decuento ;;;;;;;;
1092;PATHFINDER LA MALDICION DEL TRONO CARMESI; $1.800,00 ; $2.700 ;NOVE;;1057;SOBRE MG COLECCIÓN BÁSICA 2019 ; $131,20 ; $205 ;PROMO;PRECIO PROMO;;;;;;;;
1086;PATHFINDER R.JADE 1-EL LEGADO DEL MURO DE SALMUERA; $650,00 ; $975 ;NOVE;;1062;COMMANDER ANTHOLOGY VOL 2 ; $8.007,54 ; $14.534 ;PROMO;15% Decuento ;;;;;;;;
1087;PATHFINDER R.JADE 2-LA NOCHE DE LAS SOMBRAS HELADAS; $650,00 ; $975 ;NOVE;;1063;MAZOS COMMANDER 2018 (Se vende el pack entero de mazos, 4 unidades) ; $2.135,80 ; $3.876 ;PROMO;15% Decuento ;;;;;;;;
1088;PATHFINDER R.JADE 3-LA TORMENTA VORAZ; $650,00 ; $975 ;NOVE;;1066;SOBRE MG GREMIOS DE RÁVNICA; $169,00 ; $287 ;;;;;;;;;;
